State,State Name,County,NAICS3,Employees,Avg Weekly Pay,Establishments,WHD Office Name,Industry
CA,California,Lake County,236,120,433,50,Sacramento,Construction of Buildings
CA,California,Lassen County,236,0,0,10,Sacramento,Construction of Buildings
CA,California,Los Angeles County,236,27401,975,4704,Los Angeles,Construction of Buildings
CA,California,Madera County,236,438,713,65,Sacramento,Construction of Buildings
CA,California,Marin County,236,2191,1032,448,San Francisco,Construction of Buildings
CA,California,Mariposa County,236,66,590,17,Sacramento,Construction of Buildings
CA,California,Mendocino County,236,310,656,97,San Francisco,Construction of Buildings
CA,California,Merced County,236,295,629,68,Sacramento,Construction of Buildings
CA,California,Modoc County,236,16,500,6,Sacramento,Construction of Buildings
CA,California,Mono County,236,69,805,32,Sacramento,Construction of Buildings
CA,California,Monterey County,236,1431,816,306,San Francisco,Construction of Buildings
CA,California,Napa County,236,836,997,168,San Francisco,Construction of Buildings
CA,California,Nevada County,236,810,833,197,Sacramento,Construction of Buildings
CA,California,Orange County,236,18616,1437,2051,San Diego,Construction of Buildings
CA,California,Placer County,236,2678,1156,439,Sacramento,Construction of Buildings
CA,California,Plumas County,236,0,0,37,Sacramento,Construction of Buildings
CA,California,Riverside County,236,6382,968,1043,West Covina,Construction of Buildings
CA,California,Sacramento County,236,5585,1027,729,Sacramento,Construction of Buildings
CA,California,San Benito County,236,116,607,32,San Francisco,Construction of Buildings
CA,California,San Bernardino County,236,4351,836,769,West Covina,Construction of Buildings
CA,California,San Diego County,236,14441,1106,2104,San Diego,Construction of Buildings
CA,California,San Francisco County,236,7425,1489,794,San Francisco,Construction of Buildings
CA,California,San Joaquin County,236,1802,988,284,Sacramento,Construction of Buildings
CA,California,San Luis Obispo County,236,1517,808,297,Los Angeles,Construction of Buildings
CA,California,San Mateo County,236,4889,1307,757,San Francisco,Construction of Buildings
CA,California,Santa Barbara County,236,1543,941,322,Los Angeles,Construction of Buildings
CA,California,Santa Clara County,236,8513,1266,1190,San Francisco,Construction of Buildings
CA,California,Santa Cruz County,236,964,691,307,San Francisco,Construction of Buildings
CA,California,Shasta County,236,325,666,116,Sacramento,Construction of Buildings
CA,California,Sierra County,236,0,0,6,Sacramento,Construction of Buildings
CA,California,Siskiyou County,236,109,598,31,Sacramento,Construction of Buildings
CA,California,Solano County,236,1121,930,180,Sacramento,Construction of Buildings
CA,California,Sonoma County,236,2380,968,608,San Francisco,Construction of Buildings
CA,California,Stanislaus County,236,1452,591,234,Sacramento,Construction of Buildings
CA,California,Sutter County,236,281,828,51,Sacramento,Construction of Buildings
CA,California,Tehama County,236,63,503,31,Sacramento,Construction of Buildings
CA,California,Trinity County,236,0,0,9,Sacramento,Construction of Buildings
CA,California,Tulare County,236,862,680,170,Sacramento,Construction of Buildings
CA,California,Tuolumne County,236,242,969,67,Sacramento,Construction of Buildings
